id,firstname,lastname,email,Campus,Promo,Origine,Recrut_salon,moyenne,Abandon,contrat,ecole_origine,entreprise,duree_recrutement
167,Britte,Sabella,Britte.Sabella@supinfo.com,toulouse,2017,Cocos (Keeling) Islands,YES,9,"yes ","alternance ",İzmir,bouyges,8
168,Amara,Martguerita,Amara.Martguerita@supinfo.com,lyon,2021,Egypt,NO,7,"yes ",contrat pro,Yogyakarta (city),javista,5
169,Kimmy,Travax,Kimmy.Travax@supinfo.com,tours,2021,Yemen,YES,12,"yes ","alternance ",Gaborone,,3
170,Dotty,Rosalba,Dotty.Rosalba@supinfo.com,paris,2017,Niue,NO,14,no,"alternance ",Abidjan,oracle,8
171,Althea,Talia,Althea.Talia@supinfo.com,nantes,2020,United States Minor Outlying Islands,YES,2,no,"stage ",Gibraltar,bnp,6
172,Ruthe,Jehu,Ruthe.Jehu@supinfo.com,lille,2018,Denmark,NO,9,"yes ","stage ",Sukhumi,cgi,2
173,Mady,Lacombe,Mady.Lacombe@supinfo.com,nantes,2017,Mozambique,YES,12,"yes ",N/A,Bucharest,total,5
174,Beatriz,Seumas,Beatriz.Seumas@supinfo.com,nantes,2020,Pitcairn,YES,10,no,"stage ",Belfast,ascenci,8
175,Dorene,Payson,Dorene.Payson@supinfo.com,lille,2016,Svalbard and Jan Mayen,YES,13,no,"stage ",Semarang,oracle,4
176,Dania,Fitzsimmons,Dania.Fitzsimmons@supinfo.com,toulouse,2021,Ethiopia,NO,4,no,contrat pro,Dakar,bnp,2
177,Jinny,Frendel,Jinny.Frendel@supinfo.com,tour,2020,Qatar,NO,15,"yes ","alternance ",Sitka,bouyges,2
178,Leanna,MacIntosh,Leanna.MacIntosh@supinfo.com,nantes,2019,"Taiwan, Province of China",NO,7,no,contrat pro,Sitka,total,2
179,Drucie,Joli,Drucie.Joli@supinfo.com,tours,2021,Bosnia and Herzegovina,NO,10,"yes ","alternance ",Islamabad,cgi,10
180,Emma,Carri,Emma.Carri@supinfo.com,tour,2019,Turkey,YES,17,"yes ","alternance ",Ibadan,bnp,2
181,Etta,Burnside,Etta.Burnside@supinfo.com,nantes,2019,United Kingdom,YES,17,no,contrat pro,Campo Grande,bnp,9
182,Lesly,Olympium,Lesly.Olympium@supinfo.com,tour,2019,Cyprus,YES,12,"yes ","alternance ",The Valley,societe generale,10
183,Sadie,Kalinda,Sadie.Kalinda@supinfo.com,tour,2021,Cayman Islands,NO,18,no,N/A,Juneau,oracle,1
184,Carolina,Carleen,Carolina.Carleen@supinfo.com,montpellier,2016,Tuvalu,NO,15,no,"alternance ",Auckland,bnp,7
185,Meg,Kussell,Meg.Kussell@supinfo.com,tour,2019,Lithuania,YES,5,no,"stage ",Honiara,bnp,4
186,Dianemarie,Zuzana,Dianemarie.Zuzana@supinfo.com,lyon,2021,Thailand,NO,12,"yes ",N/A,Dar es Salaam,orange,8
187,Kathy,Pelagias,Kathy.Pelagias@supinfo.com,paris,2021,Saint Helena,YES,2,"yes ",N/A,Sana'a,orange,6
188,Cassondra,Oscar,Cassondra.Oscar@supinfo.com,nantes,2020,Namibia,NO,2,"yes ",contrat pro,Dallas,capgemini,9
189,Roz,Nance,Roz.Nance@supinfo.com,lyon,2018,Dominica,YES,11,no,N/A,Perth,bnp,10
190,Dianemarie,Skell,Dianemarie.Skell@supinfo.com,montpellier,2017,Algeria,NO,18,"yes ",contrat pro,Budapest,cgi,6
191,Priscilla,Maiah,Priscilla.Maiah@supinfo.com,paris,2019,Lithuania,NO,5,no,"stage ",Quito,orange,8
192,Philis,Silvan,Philis.Silvan@supinfo.com,paris,2017,Peru,NO,14,no,contrat pro,Chaguanas,google,6
193,Rhea,Hebner,Rhea.Hebner@supinfo.com,lyon,2016,Paraguay,YES,2,"yes ","alternance ",Hat Yai,javista,9
194,Sherrie,Cloris,Sherrie.Cloris@supinfo.com,montpellier,2019,Sri Lanka,NO,3,no,N/A,Iquitos,google,7
195,Andree,Dalli,Andree.Dalli@supinfo.com,lyon,2020,"Micronesia, Federated States of",NO,7,no,N/A,Stockholm,ascenci,9
196,Juliane,Mitzi,Juliane.Mitzi@supinfo.com,lille,2021,Djibouti,NO,13,"yes ","stage ",Suez,microsoft,4
197,Calla,Meli,Calla.Meli@supinfo.com,paris,2018,Aruba,NO,14,no,"stage ",Faisalabad,societe generale,5
198,Brietta,Mintz,Brietta.Mintz@supinfo.com,montpellier,2020,Gibraltar,NO,7,"yes ",N/A,Lviv,expanscience,8
199,Edee,Mathilde,Edee.Mathilde@supinfo.com,nantes,2021,Mauritania,YES,14,"yes ","stage ",Louisville,total,5
200,Jere,Zola,Jere.Zola@supinfo.com,tours,2016,United Kingdom,NO,14,no,contrat pro,Tunis,bouyges,6
201,Yolane,Katrine,Yolane.Katrine@supinfo.com,lyon,2019,Macao,NO,3,"yes ",contrat pro,Dubai,,4
202,Mireielle,Gert,Mireielle.Gert@supinfo.com,toulouse,2020,Panama,NO,3,"yes ",N/A,Durango,bnp,4
203,Kathi,Faria,Kathi.Faria@supinfo.com,paris,2018,Zambia,YES,10,no,N/A,Karachi,cgi,10
204,Lenna,Ogren,Lenna.Ogren@supinfo.com,lille,2017,Iraq,YES,14,no,contrat pro,Cologne,capgemini,2
205,Gerrie,Hamil,Gerrie.Hamil@supinfo.com,paris,2021,Cameroon,NO,18,no,contrat pro,São José dos Campos,javista,6
206,Corry,Socha,Corry.Socha@supinfo.com,tours,2017,Bolivia,NO,14,"yes ","stage ",Jersey City,capgemini,9
207,Marjie,Thunell,Marjie.Thunell@supinfo.com,nantes,2018,Gambia,NO,12,no,contrat pro,Port Vila,javista,9
208,Jsandye,Vernier,Jsandye.Vernier@supinfo.com,lille,2021,Czech Republic,YES,16,no,"alternance ",Calgary,societe generale,10
209,Olivette,Gusella,Olivette.Gusella@supinfo.com,tour,2019,Saint Kitts and Nevis,YES,3,no,"alternance ",Novosibirsk,google,9
210,Ann-Marie,Bach,Ann-Marie.Bach@supinfo.com,tours,2016,Netherlands Antilles,YES,14,no,contrat pro,Tirana,javista,3
211,Pearline,Willie,Pearline.Willie@supinfo.com,tour,2021,Slovenia,NO,18,"yes ",N/A,Zürich,bnp,9
212,Magdalena,Warthman,Magdalena.Warthman@supinfo.com,toulouse,2020,Ireland,YES,16,"yes ",contrat pro,Tagbilaran,cgi,1
213,Sara-Ann,Cherianne,Sara-Ann.Cherianne@supinfo.com,paris,2017,Denmark,YES,6,"yes ",N/A,Bloemfontein,google,4
214,Queenie,Hachmin,Queenie.Hachmin@supinfo.com,paris,2019,Uganda,YES,16,no,"stage ",Funafuti,google,1
215,Norine,Talia,Norine.Talia@supinfo.com,nantes,2021,Mexico,NO,15,no,N/A,Malmö,cgi,3
216,Clary,Genna,Clary.Genna@supinfo.com,lyon,2020,Solomon Islands,NO,17,no,contrat pro,Hobart,bnp,10
217,Betta,Stover,Betta.Stover@supinfo.com,paris,2020,Armenia,NO,5,"yes ",N/A,Mwanza,bnp,7
218,Iseabal,Rosette,Iseabal.Rosette@supinfo.com,montpellier,2020,Antarctica,NO,4,"yes ",N/A,Cali,expanscience,7
219,Marinna,Rodmann,Marinna.Rodmann@supinfo.com,lyon,2021,South Georgia and the South Sandwich Islands,NO,7,no,contrat pro,Shenyang,bnp,10
220,Marnia,Honoria,Marnia.Honoria@supinfo.com,montpellier,2018,Belize,YES,18,"yes ","stage ",Dresden,microsoft,9
221,Nessie,Strephon,Nessie.Strephon@supinfo.com,tour,2018,Netherlands Antilles,NO,3,no,"stage ",Thiès,expanscience,9
222,Fanchon,Behre,Fanchon.Behre@supinfo.com,paris,2021,China,YES,13,"yes ","stage ",Nantes,cgi,6
223,Livvyy,Emmy,Livvyy.Emmy@supinfo.com,montpellier,2018,Chad,NO,11,no,"alternance ",Rome,oracle,5
224,Ursulina,Othilia,Ursulina.Othilia@supinfo.com,montpellier,2021,Guam,YES,15,no,N/A,Abuja,bouyges,3
225,Stevana,Saunderson,Stevana.Saunderson@supinfo.com,tours,2017,"Taiwan, Province of China",YES,18,"yes ","alternance ",Huế,expanscience,5
226,Amelia,Alfons,Amelia.Alfons@supinfo.com,nantes,2019,Germany,NO,8,"yes ",N/A,Dakar,ascenci,10
227,Maud,Morehouse,Maud.Morehouse@supinfo.com,nantes,2019,Saint Helena,NO,12,no,contrat pro,Yekaterinburg,bnp,3
228,Monika,Liebermann,Monika.Liebermann@supinfo.com,lyon,2017,Guinea,YES,10,no,"stage ",La Paz,microsoft,4
229,Deloria,Lowry,Deloria.Lowry@supinfo.com,toulouse,2021,Marshall Islands,YES,12,"yes ","stage ",Luanda,,6
230,Asia,Ehrman,Asia.Ehrman@supinfo.com,lyon,2019,Seychelles,YES,2,no,contrat pro,Chicago,ascenci,9
231,Fernande,Ovid,Fernande.Ovid@supinfo.com,lille,2017,United States Minor Outlying Islands,NO,2,no,"alternance ",Dallas,bnp,6
232,Hildegaard,Lia,Hildegaard.Lia@supinfo.com,montpellier,2017,Benin,NO,3,no,"alternance ",Cairo,societe generale,7
233,Latisha,Wattenberg,Latisha.Wattenberg@supinfo.com,toulouse,2019,Colombia,NO,9,no,N/A,Douglas,expanscience,1
234,Maurene,Diann,Maurene.Diann@supinfo.com,paris,2018,"Congo, The Democratic Republic of the",NO,18,"yes ","stage ",Cayenne,societe generale,9
235,Jillayne,Trey,Jillayne.Trey@supinfo.com,toulouse,2016,Greenland,NO,5,"yes ",contrat pro,Santiago,microsoft,6
236,Nicoli,Astra,Nicoli.Astra@supinfo.com,paris,2016,French Guiana,NO,5,no,"alternance ",London,bouyges,9
237,Elmira,Faso,Elmira.Faso@supinfo.com,nantes,2017,"Tanzania, United Republic of",YES,14,no,"alternance ",Jayapura,microsoft,6
238,Charmaine,Eldrid,Charmaine.Eldrid@supinfo.com,nantes,2021,Uruguay,NO,13,"yes ","alternance ",Mumbai,orange,2
239,Jerry,Seligman,Jerry.Seligman@supinfo.com,tour,2020,Guinea-Bissau,NO,5,no,contrat pro,Astana,google,8
240,Jillayne,Sallyann,Jillayne.Sallyann@supinfo.com,tours,2017,Vanuatu,YES,8,"yes ","stage ",Belmopan,ascenci,4
241,Elbertina,Arquit,Elbertina.Arquit@supinfo.com,lyon,2021,Burundi,YES,16,"yes ","alternance ",Vienna,bouyges,8
242,Antonietta,Odell,Antonietta.Odell@supinfo.com,montpellier,2017,Gabon,YES,17,no,N/A,Cape Town,javista,6
243,Flory,Wittie,Flory.Wittie@supinfo.com,toulouse,2019,Puerto Rico,YES,4,no,contrat pro,Nagpur,capgemini,9
244,Jaclyn,Marlie,Jaclyn.Marlie@supinfo.com,lyon,2019,Bermuda,YES,7,no,contrat pro,Omsk,orange,1
245,Iseabal,Marlie,Iseabal.Marlie@supinfo.com,tours,2019,Palau,YES,9,no,"stage ",Birkirkara,microsoft,6
246,Sharlene,Shields,Sharlene.Shields@supinfo.com,paris,2020,Chile,YES,4,"yes ",contrat pro,Mata-Utu,,2
247,Halette,Pitt,Halette.Pitt@supinfo.com,paris,2019,Nicaragua,NO,13,"yes ",contrat pro,Cork (city),ascenci,8
248,Steffane,Konyn,Steffane.Konyn@supinfo.com,lyon,2018,Serbia and Montenegro,NO,7,no,"alternance ",Nantes,bouyges,2
249,Lenna,Lymann,Lenna.Lymann@supinfo.com,paris,2016,Guyana,YES,15,"yes ","alternance ",Iqaluit,orange,9
250,Magdalena,Carolin,Magdalena.Carolin@supinfo.com,nantes,2016,San Marino,NO,14,"yes ",contrat pro,Johor Bahru,microsoft,8
251,Codie,Naashom,Codie.Naashom@supinfo.com,montpellier,2020,Trinidad and Tobago,NO,4,"yes ",N/A,Johannesburg,orange,5
252,Randa,Prober,Randa.Prober@supinfo.com,toulouse,2019,"Virgin Islands, U.S.",NO,18,"yes ","alternance ",San Carlos de Bariloche,google,1
253,Violet,Arne,Violet.Arne@supinfo.com,lyon,2017,Bhutan,YES,15,no,contrat pro,Recife,javista,6
254,Mady,Primalia,Mady.Primalia@supinfo.com,lille,2020,Malta,YES,16,no,"stage ",Valdivia,expanscience,2
255,Maye,Hermes,Maye.Hermes@supinfo.com,tour,2019,Italy,YES,9,no,contrat pro,Ipoh,societe generale,4
256,Heida,Rona,Heida.Rona@supinfo.com,paris,2018,United States Minor Outlying Islands,YES,5,no,"alternance ",Suva,microsoft,8
257,Marleah,Uird,Marleah.Uird@supinfo.com,nantes,2016,Israel,NO,2,no,N/A,Ibiza,capgemini,9
258,Lucy,Ricki,Lucy.Ricki@supinfo.com,toulouse,2020,Nauru,YES,9,"yes ","stage ",Iquique,bouyges,3
259,Christian,Haerr,Christian.Haerr@supinfo.com,lille,2018,"Korea, Democratic People""S Republic of",NO,12,"yes ","stage ",Odessa,bnp,1
260,Lanae,Angelis,Lanae.Angelis@supinfo.com,tour,2021,Holy See (Vatican City State),YES,11,"yes ",N/A,Porto Velho,google,5
261,Wilma,Mitzi,Wilma.Mitzi@supinfo.com,lille,2020,Tuvalu,YES,9,"yes ",N/A,Edinburgh,,1
262,Rayna,Alarise,Rayna.Alarise@supinfo.com,lille,2017,Malawi,YES,7,"yes ",contrat pro,Sydney,bnp,6
263,Lucille,Vastah,Lucille.Vastah@supinfo.com,nantes,2021,Uganda,NO,3,no,N/A,Strasbourg,microsoft,7
264,Cindelyn,Faria,Cindelyn.Faria@supinfo.com,paris,2021,Brunei Darussalam,YES,11,no,N/A,City of San Marino,cgi,9
265,Farrah,Nance,Farrah.Nance@supinfo.com,lille,2016,"Congo, The Democratic Republic of the",NO,5,"yes ","alternance ",Ottawa,total,10
266,Jinny,Gregrory,Jinny.Gregrory@supinfo.com,tours,2018,Slovenia,YES,4,"yes ","stage ",Pago Pago,ascenci,5
267,Meriel,Persse,Meriel.Persse@supinfo.com,lyon,2020,Belize,YES,18,no,contrat pro,Hamilton,expanscience,7
268,Robinia,Warthman,Robinia.Warthman@supinfo.com,lille,2017,Turkey,YES,5,no,"stage ",Brasília,ascenci,3
269,Gisela,Brian,Gisela.Brian@supinfo.com,toulouse,2020,American Samoa,YES,4,no,"alternance ",Valdivia,google,3
270,Tina,Kaja,Tina.Kaja@supinfo.com,lille,2021,Aruba,NO,8,"yes ","stage ",Addis Ababa,microsoft,3
271,Aigneis,Madox,Aigneis.Madox@supinfo.com,paris,2018,Jamaica,YES,4,no,"alternance ",Guwahati,oracle,2
272,Sam,Kenney,Sam.Kenney@supinfo.com,toulouse,2017,Guinea,YES,15,"yes ",N/A,Accra,expanscience,4
273,Yolane,Lorenz,Yolane.Lorenz@supinfo.com,lille,2019,Aruba,NO,18,no,contrat pro,Busan,ascenci,5
274,Carmela,Rosemary,Carmela.Rosemary@supinfo.com,nantes,2016,Spain,NO,4,"yes ","stage ",Srinagar,total,2
275,Violet,Hachmin,Violet.Hachmin@supinfo.com,lille,2018,Solomon Islands,NO,11,no,contrat pro,Tianjin,total,1
276,Priscilla,Wooster,Priscilla.Wooster@supinfo.com,tours,2021,India,NO,13,"yes ","alternance ",Ipoh,bouyges,6
277,Imojean,Boehike,Imojean.Boehike@supinfo.com,toulouse,2020,Belgium,YES,2,no,contrat pro,Xining,orange,10
278,Kelly,Casimir,Kelly.Casimir@supinfo.com,paris,2016,Western Sahara,NO,16,"yes ",N/A,Kingstown,microsoft,9
279,Therine,Fairweather,Therine.Fairweather@supinfo.com,toulouse,2021,Vanuatu,NO,3,"yes ",contrat pro,Concepción,bouyges,10
280,Christy,Ledah,Christy.Ledah@supinfo.com,nantes,2018,Luxembourg,YES,9,"yes ","alternance ",Algiers,expanscience,10
281,Dorice,Hillel,Dorice.Hillel@supinfo.com,lille,2016,Cyprus,YES,17,no,"stage ",Düsseldorf,total,4
282,Mureil,Iphlgenia,Mureil.Iphlgenia@supinfo.com,toulouse,2020,Svalbard and Jan Mayen,NO,4,"yes ","alternance ",Lahore,cgi,3
283,Amelia,Halsey,Amelia.Halsey@supinfo.com,lyon,2020,"Congo, The Democratic Republic of the",NO,10,"yes ",contrat pro,Campo Grande,bouyges,1
284,Ayn,Obed,Ayn.Obed@supinfo.com,paris,2018,"Cote D""Ivoire",NO,6,"yes ",contrat pro,Nizhny Novgorod,societe generale,6
285,Jany,Gwenore,Jany.Gwenore@supinfo.com,toulouse,2019,San Marino,YES,13,no,"alternance ",Alor Star,orange,8
286,Charissa,Barrus,Charissa.Barrus@supinfo.com,lille,2020,Luxembourg,NO,6,"yes ","alternance ",Taiyuan,orange,10
287,Oralee,Lane,Oralee.Lane@supinfo.com,toulouse,2018,Liberia,NO,12,no,contrat pro,Chennai,ascenci,5
288,Verla,Sidonius,Verla.Sidonius@supinfo.com,lyon,2017,Peru,NO,4,"yes ","stage ",Düsseldorf,bnp,5
289,Rosene,Bates,Rosene.Bates@supinfo.com,tours,2017,Indonesia,NO,13,"yes ","alternance ",Panama City,javista,7
290,Linzy,Rosette,Linzy.Rosette@supinfo.com,paris,2017,"Tanzania, United Republic of",YES,5,"yes ","stage ",Beijing,cgi,8
291,Corene,Libna,Corene.Libna@supinfo.com,lyon,2020,Portugal,YES,12,"yes ","stage ",Vilnius,orange,1
292,Alejandra,Clie,Alejandra.Clie@supinfo.com,tour,2017,Russian Federation,NO,6,no,"alternance ",Okinawa,expanscience,1
293,Tina,Drus,Tina.Drus@supinfo.com,nantes,2018,Benin,NO,16,"yes ","alternance ",Cannes,,9
294,Lucille,Berl,Lucille.Berl@supinfo.com,tours,2019,India,NO,4,"yes ",contrat pro,Kabul,orange,3
295,Mignon,Zeeba,Mignon.Zeeba@supinfo.com,toulouse,2019,Montserrat,YES,3,no,N/A,Pune,expanscience,9
296,Mary,Elisha,Mary.Elisha@supinfo.com,nantes,2020,Antigua and Barbuda,YES,5,no,N/A,Bangkok,,9
297,Dianemarie,Roche,Dianemarie.Roche@supinfo.com,tour,2016,South Georgia and the South Sandwich Islands,NO,13,no,contrat pro,Manila,,1
298,Gavrielle,Sherrie,Gavrielle.Sherrie@supinfo.com,montpellier,2019,Chile,YES,12,no,N/A,Kraków,orange,10
299,Hayley,Tiffa,Hayley.Tiffa@supinfo.com,tours,2017,Angola,NO,14,no,contrat pro,Honolulu,javista,7
300,Anestassia,Concha,Anestassia.Concha@supinfo.com,toulouse,2017,Kiribati,NO,17,no,N/A,Ipoh,cgi,2
301,Josephine,Quent,Josephine.Quent@supinfo.com,toulouse,2017,Liberia,NO,13,"yes ",contrat pro,Hai Phong,cgi,7
302,Korrie,Warthman,Korrie.Warthman@supinfo.com,paris,2017,Sweden,NO,8,no,N/A,Quetzaltenango,cgi,4
